feature,count,mean,std,min,25%,50%,75%,max
mfcc4_std,720.0,29.378177376388884,3.574814801590038,21.495173,26.49667275,29.0562555,32.001525,41.4866
mfcc5_std,720.0,19.80681770138889,2.636457829395365,12.714111,18.27085275,19.82838,21.34211975,36.45239
mfcc6_std,720.0,16.412166598611112,2.670192568349556,11.175507,14.399284,16.038459500000002,17.7656405,25.471767
mfcc7_std,720.0,15.369496802777778,2.242522408491429,10.326495,13.85624275,15.6381765,17.08526025,21.635216
mfcc8_std,720.0,15.148459674305556,2.49957168704502,10.552926,13.310389375,14.7853125,16.620390750000002,29.274487
mfcc9_std,720.0,13.464025270833332,1.8601388320412289,8.077919,12.28312825,13.441831,14.549985,18.706528
mfcc10_std,720.0,12.366265072916667,2.110430093213979,9.081696,10.54417475,11.670771,14.0342865,18.541166
mfcc11_std,720.0,10.786009069305555,1.576747868640322,7.5040193,9.69180475,10.556234,11.85004625,15.964595
mfcc12_std,720.0,10.190511779583332,1.470854005795212,6.614518,9.256712,10.2034805,11.181365750000001,15.598475
mfcc13_std,720.0,9.35196072263889,1.569208032560045,6.6431394,8.470544499999999,8.9954815,9.8021985,17.886047
mfcc14_std,720.0,9.038933795833335,1.259680198970632,5.4464498,8.461200999999999,9.078391,9.835593750000001,12.615737
mfcc15_std,720.0,8.739042125277779,1.5066411624946694,5.4392724,7.7053667500000005,8.640276,9.495193,14.874762
mfcc16_std,720.0,7.939568783888888,1.0388135640923737,5.2211533,7.121505875,7.95117115,8.651352500000002,11.208667
mfcc17_std,720.0,8.154968235138888,1.2619576890033974,5.6887255,7.224813225,7.88169985,8.91433725,13.054751
mfcc18_std,720.0,7.604215716805556,1.0392731382368134,5.181816,6.814761325,7.389562,8.37861075,10.621414
mfcc19_std,720.0,7.968018625972222,1.3304968115742581,5.331214,7.0014731,7.890987,8.77396575,13.588456
mfcc20_std,720.0,7.4912148315277785,1.4983245373207768,4.586864,6.437615,7.1794795,8.48320475,12.178904
mfcc_d1_1_mean,720.0,-0.0009711056469845203,0.09093132078982052,-0.2951177,-0.027646074,0.00010607497500000001,0.036495867,0.4402566
mfcc_d1_2_mean,720.0,0.0023672238523032092,0.03389573791699202,-0.12008863,-0.011379404249999999,0.00056335108,0.0171495455,0.16066083
mfcc_d1_3_mean,720.0,0.0009092296776656064,0.019544900538776576,-0.09460042,-0.0066755151,1.5017069e-08,0.0098592,0.081839114
mfcc_d1_4_mean,720.0,0.0003004633456353307,0.01685374849628214,-0.069795355,-0.00679937,0.000447226995,0.00912699225,0.068486735
mfcc_d1_5_mean,720.0,0.0010360452066909913,0.011118347044620249,-0.04197903,-0.004972224725,0.000562528525,0.006386948475,0.047205623
mfcc_d1_6_mean,720.0,0.0012090709716339864,0.008998854825137381,-0.03099124,-0.002995985475,0.00048292895,0.005459892625000001,0.034999043
mfcc_d1_7_mean,720.0,0.000578519819609261,0.008673114516258828,-0.0357152,-0.0034490544,0.000135184815,0.00481549135,0.039311256
mfcc_d1_8_mean,720.0,-7.983535134750007e-05,0.008824310533176697,-0.038083006,-0.004119461125,-4.941318e-10,0.0040863714,0.028551448
mfcc_d1_9_mean,720.0,0.00045118390408815587,0.007890334924663166,-0.03926907,-0.003420117925,2.2540349500000003e-09,0.0040279577250000006,0.029716069
